law,budget,replication,method,rule,family_noncoverage,false_certification
biased_zero_rank_contrast,3072,0,shared_correction,range,False,False
biased_zero_rank_contrast,3072,0,shared_correction,hybrid,False,False
biased_zero_rank_contrast,3072,0,disjoint_triple_u,range,False,False
biased_zero_rank_contrast,3072,0,disjoint_triple_u,hybrid,False,False
biased_zero_rank_contrast,3072,0,complete_u,range,False,False
biased_zero_rank_contrast,3072,0,complete_u,hybrid,False,False
biased_zero_rank_contrast,3072,1,shared_correction,range,False,False
biased_zero_rank_contrast,3072,1,shared_correction,hybrid,False,False
biased_zero_rank_contrast,3072,1,disjoint_triple_u,range,False,False
biased_zero_rank_contrast,3072,1,disjoint_triple_u,hybrid,False,False
biased_zero_rank_contrast,3072,1,complete_u,range,False,False
biased_zero_rank_contrast,3072,1,complete_u,hybrid,False,False
biased_zero_rank_contrast,3072,2,shared_correction,range,False,False
biased_zero_rank_contrast,3072,2,shared_correction,hybrid,False,False
biased_zero_rank_contrast,3072,2,disjoint_triple_u,range,False,False
biased_zero_rank_contrast,3072,2,disjoint_triple_u,hybrid,False,False
biased_zero_rank_contrast,3072,2,complete_u,range,False,False
biased_zero_rank_contrast,3072,2,complete_u,hybrid,False,False
biased_zero_rank_contrast,3072,3,shared_correction,range,False,False
biased_zero_rank_contrast,3072,3,shared_correction,hybrid,False,False
biased_zero_rank_contrast,3072,3,disjoint_triple_u,range,False,False
biased_zero_rank_contrast,3072,3,disjoint_triple_u,hybrid,False,False
biased_zero_rank_contrast,3072,3,complete_u,range,False,False
biased_zero_rank_contrast,3072,3,complete_u,hybrid,False,False
biased_zero_rank_contrast,3072,4,shared_correction,range,False,False
biased_zero_rank_contrast,3072,4,shared_correction,hybrid,False,False
biased_zero_rank_contrast,3072,4,disjoint_triple_u,range,False,False
biased_zero_rank_contrast,3072,4,disjoint_triple_u,hybrid,False,False
biased_zero_rank_contrast,3072,4,complete_u,range,False,False
biased_zero_rank_contrast,3072,4,complete_u,hybrid,False,False
biased_zero_rank_contrast,3072,5,shared_correction,range,False,False
biased_zero_rank_contrast,3072,5,shared_correction,hybrid,False,False
biased_zero_rank_contrast,3072,5,disjoint_triple_u,range,False,False
biased_zero_rank_contrast,3072,5,disjoint_triple_u,hybrid,False,False
biased_zero_rank_contrast,3072,5,complete_u,range,False,False
biased_zero_rank_contrast,3072,5,complete_u,hybrid,False,False
biased_zero_rank_contrast,3072,6,shared_correction,range,False,False
biased_zero_rank_contrast,3072,6,shared_correction,hybrid,False,False
